id,label,node_type,zbetween_central,zdeg_central,zpagerank
0,"Monkhorst, Hendrik J.",Author,0.0,0.00173913043478,0.00102727844508
1,"Pack, James D.",Author,0.0,0.00173913043478,0.00102727844508
2,"Schlegel, David J.",Author,0.0,0.00173913043478,0.000848161729492
3,"Finkbeiner, Douglas P.",Author,0.0,0.00173913043478,0.000848161729492
4,"Davis, Marc",Author,0.0,0.00173913043478,0.000848161729492
5,"Riess, Adam G.",Author,0.00310587434928,0.00347826086957,0.00142598618231
6,"Filippenko, Alexei V.",Author,0.00310587434928,0.00347826086957,0.00142598618231
7,"Challis, Peter",Author,0.00310587434928,0.00347826086957,0.00142598618231
8,"Clocchiatti, Alejandro",Author,0.0,0.00173913043478,0.000838241119484
9,"Diercks, Alan",Author,0.0,0.00173913043478,0.000838241119484
10,"Garnavich, Peter M.",Author,0.0,0.00173913043478,0.000838241119484
11,"Gilliland, Ron L.",Author,0.0,0.00173913043478,0.000838241119484
12,"Hogan, Craig J.",Author,0.0,0.00173913043478,0.000838241119484
13,"Jha, Saurabh",Author,0.00310587434928,0.00347826086957,0.00142598618231
14,"Kirshner, Robert P.",Author,0.00310587434928,0.00347826086957,0.00142598618231
15,"Leibundgut, B.",Author,0.0,0.00173913043478,0.000838241119484
16,"Phillips, M. M.",Author,0.0,0.00173913043478,0.000838241119484
17,"Reiss, David",Author,0.0,0.00173913043478,0.000838241119484
18,"Schmidt, Brian P.",Author,0.0,0.00173913043478,0.000838241119484
19,"Schommer, Robert A.",Author,0.0,0.00173913043478,0.000838241119484
20,"Smith, R. Chris",Author,0.0,0.00173913043478,0.000838241119484
21,"Spyromilio, J.",Author,0.0,0.00173913043478,0.000838241119484
22,"Stubbs, Christopher",Author,0.0,0.00173913043478,0.000838241119484
23,"Suntzeff, Nicholas B.",Author,0.0,0.00173913043478,0.000838241119484
24,"Tonry, John",Author,0.00310587434928,0.00347826086957,0.00142598618231
25,"Kresse, G.",Author,0.0,0.00173913043478,0.00102727844508
26,"Hafner, J.",Author,0.0,0.00173913043478,0.00102727844508
27,"Spergel, D. N.",Author,0.0,0.00173913043478,0.000928786654459
28,"Verde, L.",Author,0.0,0.00173913043478,0.000928786654459
29,"Peiris, H. V.",Author,0.0,0.00173913043478,0.000928786654459
30,"Komatsu, E.",Author,0.0,0.00173913043478,0.000928786654459
31,"Nolta, M. R.",Author,0.0,0.00173913043478,0.000928786654459
32,"Bennett, C. L.",Author,0.0,0.00173913043478,0.000928786654459
33,"Halpern, M.",Author,0.0,0.00173913043478,0.000928786654459
34,"Hinshaw, G.",Author,0.0,0.00173913043478,0.000928786654459
35,"Jarosik, N.",Author,0.0,0.00173913043478,0.000928786654459
36,"Kogut, A.",Author,0.0,0.00173913043478,0.000928786654459
37,"Limon, M.",Author,0.0,0.00173913043478,0.000928786654459
38,"Meyer, S. S.",Author,0.0,0.00173913043478,0.000928786654459
39,"Page, L.",Author,0.0,0.00173913043478,0.000928786654459
40,"Tucker, G. S.",Author,0.0,0.00173913043478,0.000928786654459
41,"Weiland, J. L.",Author,0.0,0.00173913043478,0.000928786654459
42,"Wollack, E.",Author,0.0,0.00173913043478,0.000928786654459
43,"Wright, E. L.",Author,0.0,0.00173913043478,0.000928786654459
44,"Shakura, N. I.",Author,0.0,0.00173913043478,0.000955641101175
45,"Sunyaev, R. A.",Author,0.0,0.00173913043478,0.000955641101175
46,"Geim, A. K.",Author,1.21193758521e-05,0.00347826086957,0.00225389863548
47,"Novoselov, K. S.",Author,0.0,0.00173913043478,0.00121832358674
48,"Anders, Edward",Author,0.0,0.00173913043478,0.00104048099268
49,"Grevesse, Nicolas",Author,0.00399939403121,0.00347826086957,0.00162469168036
50,"Cardelli, Jason A.",Author,0.0,0.00173913043478,0.000848161729492
51,"Clayton, Geoffrey C.",Author,0.0,0.00173913043478,0.000848161729492
52,"Mathis, John S.",Author,0.0,0.00173913043478,0.000848161729492
53,"Bean, R.",Author,0.0,0.00173913043478,0.000928786654459
54,"Doré, O.",Author,0.0,0.00173913043478,0.000928786654459
55,"Dunkley, J.",Author,0.0,0.00173913043478,0.000928786654459
56,"Hill, R. S.",Author,0.0,0.00173913043478,0.000928786654459
57,"Odegard, N.",Author,0.0,0.00173913043478,0.000928786654459
58,"Smith, K. M.",Author,0.0,0.00173913043478,0.000928786654459
59,"Gold, B.",Author,0.0,0.00173913043478,0.000928786654459
60,"Larson, D.",Author,0.0,0.00173913043478,0.000928786654459
61,"Navarro, Julio F.",Author,0.0,0.00173913043478,0.000848161729492
62,"Frenk, Carlos S.",Author,0.017052403192,0.00347826086957,0.00150005334866
63,"White, Simon D. M.",Author,0.0230506758409,0.00521739130435,0.00207803322717
64,"Johnson, P. B.",Author,0.0,0.00173913043478,0.00102727844508
65,"Christy, R. W.",Author,0.0,0.00173913043478,0.00102727844508
66,"Hawking, S. W.",Author,7.87759430389e-05,0.00347826086957,0.00176955169987
67,"Hasan, M. Z.",Author,0.0,0.00173913043478,0.000942684553686
68,"Kane, C. L.",Author,0.00618088168459,0.00347826086957,0.00164627294566
69,"Bertin, E.",Author,0.0,0.00173913043478,0.00101841803676
70,"Arnouts, S.",Author,0.0,0.00173913043478,0.00101841803676
71,"Salpeter, Edwin E.",Author,0.0,0.00173913043478,0.000848161729492
72,"Bruzual, G.",Author,0.0,0.00173913043478,0.000838396545174
73,"Charlot, S.",Author,0.0,0.00173913043478,0.000838396545174
74,"Albert, Réka",Author,0.0,0.00173913043478,0.000942684553686
75,"Barabási, Albert-László",Author,0.0,0.00173913043478,0.000942684553686
76,"Binney, James",Author,0.0,0.00173913043478,0.000915640751368
77,"Tremaine, Scott",Author,0.011956442926,0.00521739130435,0.00208121026701
78,"Žutić, Igor",Author,0.0,0.00173913043478,0.000942684553686
79,"Fabian, Jaroslav",Author,0.0,0.00173913043478,0.000942684553686
80,"Das Sarma, S.",Author,0.0,0.00173913043478,0.000942684553686
81,"Arkani-Hamed, Nima",Author,2.22188557289e-05,0.00347826086957,0.00153852321542
82,"Dimopoulos, Savas",Author,2.22188557289e-05,0.00347826086957,0.00153852321542
83,"Dvali, Gia",Author,2.22188557289e-05,0.00347826086957,0.00153852321542
84,"Ando, Tsuneya",Author,0.0,0.00173913043478,0.000942684553686
85,"Fowler, Alan B.",Author,0.0,0.00173913043478,0.000942684553686
86,"Stern, Frank",Author,0.0,0.00173913043478,0.000942684553686
87,"Chandrasekhar, S.",Author,0.0,0.00173913043478,0.000942684553686
88,"Stetson, Peter B.",Author,0.0288138160885,0.00347826086957,0.00154729908598
89,"Landolt, Arlo U.",Author,0.0,0.00173913043478,0.000838241119484
90,"Peebles, Phillip James Edwin",Author,0.0,0.00173913043478,0.000915640751368
91,"Kroto, H. W.",Author,0.0,0.00173913043478,0.000912308285833
92,"Heath, J. R.",Author,0.0,0.00173913043478,0.000912308285833
93,"O'Brien, S. C.",Author,0.0,0.00173913043478,0.000912308285833
94,"Curl, R. F.",Author,0.0,0.00173913043478,0.000912308285833
95,"Smalley, R. E.",Author,0.0,0.00173913043478,0.000912308285833
96,"Kennicutt, Robert C., Jr.",Author,0.00383537999673,0.00347826086957,0.00143237241717
97,"Barnes, C.",Author,0.0,0.00173913043478,0.000928786654459
98,"Greason, M. R.",Author,0.0,0.00173913043478,0.000928786654459
99,"Qi, Xiao-Liang",Author,0.0,0.00173913043478,0.000942684553686
100,"Zhang, Shou-Cheng",Author,0.0,0.00173913043478,0.000942684553686
101,"Bloch, Immanuel",Author,0.0,0.00173913043478,0.000942684553686
102,"Dalibard, Jean",Author,0.0,0.00173913043478,0.000942684553686
103,"Zwerger, Wilhelm",Author,0.0,0.00173913043478,0.000942684553686
104,"Georges, Antoine",Author,0.00591425541585,0.00347826086957,0.00164773753447
105,"Kotliar, Gabriel",Author,0.0,0.00173913043478,0.000942684553686
106,"Krauth, Werner",Author,0.0,0.00173913043478,0.000942684553686
107,"Rozenberg, Marcelo J.",Author,0.0,0.00173913043478,0.000942684553686
108,"Dickey, J. M.",Author,0.0,0.00173913043478,0.000844627354347
109,"Lockman, F. J.",Author,0.0,0.00173913043478,0.000844627354347
110,"Payne, M. C.",Author,0.0,0.00173913043478,0.000942684553686
111,"Teter, M. P.",Author,0.0,0.00173913043478,0.000942684553686
112,"Allan, D. C.",Author,0.0,0.00173913043478,0.000942684553686
113,"Arias, T. A.",Author,0.0,0.00173913043478,0.000942684553686
114,"Joannopoulos, J. D.",Author,0.0,0.00173913043478,0.000942684553686
115,"Kurucz, R. L.",Author,0.0,0.00173913043478,0.000928786654459
116,"Rodríguez-Carvajal, Juan",Author,0.0,0.00173913043478,0.00173611111111
117,"Imada, Masatoshi",Author,0.0,0.00173913043478,0.000942684553686
118,"Fujimori, Atsushi",Author,0.0,0.00173913043478,0.000942684553686
119,"Tokura, Yoshinori",Author,0.0,0.00173913043478,0.000942684553686
120,"Press, William H.",Author,0.0,0.00173913043478,0.000848161729492
121,"Schechter, Paul",Author,0.0,0.00173913043478,0.000848161729492
